Ecuador, 2020, 109.444, 106.914, 4.698, 2.591
Ecuador, 2021, 112.682, 108.737, 4.74, 2.682
Egypt, 2020, 353.003, 693.929, 7.868, -7.029
Egypt, 2021, 376.542, 744.008, 7.272, -4.757
El Salvador, 2020, 27.918, 114.555, 7.119, -3.198
El Salvador, 2021, 29.026, 115.815, 7.169, -2.725
Equatorial Guinea, 2020, 11.635, 140.325, , 0.484
Equatorial Guinea, 2021, 11.327, 142.708, , 0.609
Eritrea, 2020, 2.193, 442.629, , -2.85
Eritrea, 2021, 2.327, 451.481, , -3.954
Estonia, 2020, 32.742, 113.404, 4.69, -0.131
Estonia, 2021, 34.95, 116.012, 4.759, -0.104
Eswatini, 2020, 4.784, 345.499, , -4.761
Eswatini, 2021, 4.924, 362.261, , -5.963
Ethiopia, 2020, 103.607, 162.701, , -3.032
Ethiopia, 2021, 114.681, 177.812, , -3
Fiji, 2020, 6.062, 129.179, 4.5, -2.758
Fiji, 2021, 6.45, 133.054, 4.5, -2.757
Finland, 2020, 280.709, 104.936, 6.4, -1.008
Finland, 2021, 292.81, 106.457, 6.3, -1.127
France, 2020, 2771.62, 106.209, 8.431, -2.448
France, 2021, 2876.23, 107.724, 8.287, -2.44
Gabon, 2020, 17.623, 143.099, , 0.922
Gabon, 2021, 18.563, 147.392, , 1.917
Gambia, 2020, 1.925, 548.496, , -3.824
Gambia, 2021, 2.06, 580.057, , -3.131
Georgia, 2020, 17.007, 137.84, , -1.996
Georgia, 2021, 18.662, 141.954, , -2.181
Germany, 2020, 3982.24, 107.338, 3.273, 0.992
Germany, 2021, 4158.66, 109.157, 3.375, 0.741
Ghana, 2020, 69.757, 261.118, , -6.093
Ghana, 2021, 74.633, 284.097, , -4.911
Greece, 2020, 222.785, 122.762, 16.823, -1.001
Greece, 2021, 231.755, 124.308, 15.683, -1.075
Grenada, 2020, 1.295, 114.136, , 4.293
Grenada, 2021, 1.356, 116.2, , 4.519
Guatemala, 2020, 86.397, 146.833, , -2.446
Guatemala, 2021, 92.553, 152.929, , -2.341
Guinea, 2020, 14.396, 2001.81, , -2.03
