Chile,                              2020,               19116.209,           25.71
China,                              2018,               1427647.789,         152.068
China,                              2019,               1433783.692,         152.722
China,                              2020,               1439323.774,         153.312
Hong Kong,             	    	    2018,               7371.728,            7020.693
Hong Kong,                          2019,               7436.157,            7082.054
Hong Kong,                          2020,               7496.988,            7139.989
Macao,                              2018,               631.633,             21124.849
Macao,              	            2019,               640.446,             21419.599
Macao,                              2020,               649.342,             21717.124
Taiwan,    		               	    2018,               23726.46,            670.05
Taiwan,    		               	    2019,               23773.881,           671.389
Taiwan,   		            	    2020,               23816.775,           672.6
Colombia,                           2018,               49661.056,           44.76
Colombia,                           2019,               50339.443,           45.371
Colombia,                           2020,               50882.884,           45.861
Comoros,                            2018,               832.322,             447.244
Comoros,                            2019,               850.891,             457.222
Comoros,                            2020,               869.595,             467.273
Congo,                              2018,               5244.363,            15.357
Congo,                              2019,               5380.504,            15.756
Congo,                              2020,               5518.092,            16.158
Cook Islands,                       2018,               17.519,              72.996
Cook Islands,                       2019,               17.547,              73.112
Cook Islands,                       2020,               17.564,              73.183
Costa Rica,                         2018,               4999.443,            97.913
Costa Rica,                         2019,               5047.561,            98.855
Costa Rica,                         2020,               5094.114,            99.767
Croatia,                            2018,               4156.407,            74.275
Croatia,                            2019,               4130.299,            73.808
Croatia,                            2020,               4105.268,            73.361
Cuba,                               2018,               11338.146,           106.521
Cuba,                               2019,               11333.484,           106.478
Cuba,                               2020,               11326.616,           106.413
Curacao,                            2018,               162.753,             366.561
Curacao,                            2019,               163.423,             368.07
Curacao,                            2020,               164.1,               369.595
Cyprus,                             2018,               1189.262,            128.708
Cyprus,                             2019,               1198.574,            129.716
Cyprus,                             2020,               1207.361,            130.667
Czech Republic,                     2018,               10665.679,           138.085
Czech Republic,                     2019,               10689.213,           138.39
Czech Republic,                     2020,               10708.982,           138.646
Cote d'Ivoire,                      2018,               25069.226,           78.834
Cote d'Ivoire,                      2019,               25716.554,           80.87
Cote d'Ivoire,                      2020,               26378.275,           82.951
North Korea,    		            2018,               25549.606,           212.188
North Korea,    		            2019,               25666.158,           213.156
North Korea,    	                2020,               25778.815,           214.092
Democratic Republic of the Congo,   2018,               84068.092,           37.083
Democratic Republic of the Congo,   2019,               86790.568,           38.283
Democratic Republic of the Congo,   2020,               89561.404,           39.506
Denmark,                            2018,               5752.131,            135.568
Denmark,                            2019,               5771.877,            136.033
Denmark,                            2020,               5792.203,            136.512
Djibouti,                           2018,               958.923,             41.369
Djibouti,                           2019,               973.557,             42
Djibouti,                           2020,               988.002,             42.623
Dominica,                           2018,               71.626,              95.501
Dominica,                           2019,               71.808,              95.744
Dominica,                           2020,               71.991,              95.988
Dominican Republic,                 2018,               10627.147,           219.933
Dominican Republic,                 2019,               10738.957,           222.247
Dominican Republic,                 2020,               10847.904,           224.501
Ecuador,                            2018,               17084.359,           68.789
Ecuador,                            2019,               17373.657,           69.954
Ecuador,                            2020,               17643.06,            71.038
Egypt,                              2018,               98423.602,           98.873
Egypt,                              2019,               100388.076,          100.847
Egypt,                              2020,               102334.403,          102.802
El Salvador,                        2018,               6420.74,             309.881
El Salvador,                        2019,               6453.55,             311.465
El Salvador,                        2020,               6486.201,            313.041
Equatorial Guinea,                  2018,               1308.966,            46.665
Equatorial Guinea,                  2019,               1355.982,            48.342
Equatorial Guinea,                  2020,               1402.985,            50.017
Eritrea,                            2018,               3452.797,            34.186
Eritrea,                            2019,               3497.117,            34.625
Eritrea,                            2020,               3546.427,            35.113
Estonia,                            2018,               1322.913,            31.208
Estonia,                            2019,               1325.649,            31.273
Estonia,                            2020,               1326.539,            31.294
Eswatini,                           2018,               1136.274,            66.062
Eswatini,                           2019,               1148.133,            66.752
Eswatini,                           2020,               1160.164,            67.451
Ethiopia,                           2018,               109224.41,           109.224
Ethiopia,                           2019,               112078.727,          112.079
Ethiopia,                           2020,               114963.583,          114.964
Falkland Islands,        	        2018,               3.236,               0.266
Falkland Islands,                   2019,               3.372,               0.277
Falkland Islands,                   2020,               3.483,               0.286
Faroe Islands,                      2018,               48.497,              34.74
Faroe Islands,                      2019,               48.677,              34.869
Faroe Islands,                      2020,               48.865,              35.004
Fiji,                               2018,               883.49,              48.357
Fiji,                               2019,               889.955,             48.711
Fiji,                               2020,               896.444,             49.066
Finland,                            2018,               5522.585,            18.173
Finland,                            2019,               5532.159,            18.204
Finland,                            2020,               5540.718,            18.233
France,                             2018,               64990.512,           118.692
France,                             2019,               65129.731,           118.946
France,                             2020,               65273.512,           119.209
French Guiana,                      2018,               282.936,             3.442
French Guiana,                      2019,               290.823,             3.538
French Guiana,                      2020,               298.682,             3.634
French Polynesia,                   2018,               277.673,             75.867
French Polynesia,                   2019,               279.285,             76.307
French Polynesia,                   2020,               280.904,             76.75
Gabon,                              2018,               2119.275,            8.225
Gabon,                              2019,               2172.578,            8.432
Gabon,                              2020,               2225.728,            8.638
Gambia,                             2018,               2280.092,            225.306
Gambia,                             2019,               2347.696,            231.986
Gambia,                             2020,               2416.664,            238.801
Georgia,                            2018,               4002.946,            57.605
Georgia,                            2019,               3996.762,            57.516
Georgia,                            2020,               3989.175,            57.406
Germany,                            2018,               83124.413,           238.479
Germany,                            2019,               83517.046,           239.606
Germany,                            2020,               83783.945,           240.372
Ghana,                              2018,               29767.108,           130.821
Ghana,                              2019,               30417.858,           133.681
Ghana,                              2020,               31072.945,           136.56
Gibraltar,                          2018,               33.715,              3371.5
Gibraltar,                          2019,               33.706,              3370.6
Gibraltar,                          2020,               33.691,              3369.1
Greece,                             2018,               10522.244,           81.631
Greece,                             2019,               10473.452,           81.253
Greece,                             2020,               10423.056,           80.862
Greenland,                          2018,               56.565,              0.138
Greenland,                          2019,               56.66,               0.138
Greenland,                          2020,               56.772,              0.138
Grenada,                            2018,               111.449,             327.791
Grenada,                            2019,               112.002,             329.418
Grenada,                            2020,               112.519,             330.938
Guadeloupe,                         2018,               399.848,             245.607
Guadeloupe,                         2019,               400.048,             245.73
Guadeloupe,                         2020,               400.127,             245.778
Guam,                               2018,               165.77,              306.981
Guam,                               2019,               167.295,             309.806
Guam,                               2020,               168.783,             312.561
Guatemala,                          2018,               17247.855,           160.954
Guatemala,                          2019,               17581.476,           164.068
Guatemala,                          2020,               17915.567,           167.185
Guinea,                             2018,               12414.292,           50.522
Guinea,                             2019,               12771.246,           51.975
Guinea,                             2020,               13132.792,           53.446
Guinea-Bissau,                      2018,               1874.304,            66.654
Guinea-Bissau,                      2019,               1920.917,            68.311
Guinea-Bissau,                      2020,               1967.998,            69.986
Guyana,                             2018,               779.007,             3.957
Guyana,                             2019,               782.775,             3.977
Guyana,                             2020,               786.559,             3.996
Haiti,                              2018,               11123.183,           403.599
Haiti,                              2019,               11263.079,           408.675
Haiti,                              2020,               11402.533,           413.735
Vatican City,                       2018,               0.81,                1840.909
Vatican City,                       2019,               0.815,               1852.273
Vatican City,                       2020,               0.809,               1838.636
Honduras,                           2018,               9587.523,            85.687
Honduras,                           2019,               9746.115,            87.104
Honduras,                           2020,               9904.608,            88.521
Hungary,                            2018,               9707.502,            107.23
Hungary,                            2019,               9684.68,             106.978
Hungary,                            2020,               9660.35,             106.709
Iceland,                            2018,               336.712,             3.359
Iceland,                            2019,               339.037,             3.382
Iceland,                            2020,               341.25,              3.404
India,                              2018,               1352642.283,         454.946
India,                              2019,               1366417.756,         459.58
India,                              2020,               1380004.385,         464.149
Indonesia,                          2018,               267670.549,          147.756
Indonesia,                          2019,               270625.567,          149.387
Indonesia,                          2020,               273523.621,          150.987
Iran,                               2018,               81800.204,           50.229
Iran,                               2019,               82913.893,           50.913
Iran,                               2020,               83992.953,           51.575
Iraq,                               2018,               38433.604,           88.491
Iraq,                               2019,               39309.789,           90.509
Iraq,                               2020,               40222.503,           92.61
Ireland,                            2018,               4818.694,            69.948
Ireland,                            2019,               4882.498,            70.874
Ireland,                            2020,               4937.796,            71.677
Isle of Man,                        2018,               84.073,              147.496
Isle of Man,                        2019,               84.589,              148.402
Isle of Man,                        2020,               85.032,              149.179
Israel,                             2018,               8381.507,            387.315
Israel,                             2019,               8519.373,            393.686
Israel,                             2020,               8655.541,            399.979
Italy,                              2018,               60627.291,           206.117
Italy,                              2019,               60550.092,           205.855
Italy,                              2020,               60461.828,           205.555
Jamaica,                            2018,               2934.853,            270.993
Jamaica,                            2019,               2948.277,            272.232
Jamaica,                            2020,               2961.161,            273.422
Japan,                              2018,               127202.19,           348.925
Japan,                              2019,               126860.299,          347.987
Japan,                              2020,               126476.458,          346.934
Jordan,                             2018,               9965.322,            112.247
Jordan,                             2019,               10101.697,           113.783
Jordan,                             2020,               10203.14,            114.926
Kazakhstan,                         2018,               18319.616,           6.786
Kazakhstan,                         2019,               18551.428,           6.872
Kazakhstan,                         2020,               18776.707,           6.955
Kenya,                              2018,               51392.57,            90.299
Kenya,                              2019,               52573.967,           92.374
Kenya,                              2020,               53771.3,             94.478
Kiribati,                           2018,               115.842,             143.015
Kiribati,                           2019,               117.608,             145.195
Kiribati,                           2020,               119.446,             147.464
Kuwait,                             2018,               4137.314,            232.173
Kuwait,                             2019,               4207.077,            236.087
Kuwait,                             2020,               4270.563,            239.65
Kyrgyzstan,                         2018,               6304.025,            32.868
Kyrgyzstan,                         2019,               6415.851,            33.451
Kyrgyzstan,                         2020,               6524.191,            34.016
Laos,                               2018,               7061.498,            30.596
Laos,                               2019,               7169.456,            31.064
Laos, 				                2020,               7275.556,            31.523
Latvia,                             2018,               1928.461,            31.004
Latvia,                             2019,               1906.74,             30.655
Latvia,                             2020,               1886.202,            30.325
Lebanon,                            2018,               6859.408,            670.519
Lebanon,                            2019,               6855.709,            670.157
Lebanon,                            2020,               6825.442,            667.199
Lesotho,                            2018,               2108.327,            69.444
Lesotho,                            2019,               2125.267,            70.002
Lesotho,                            2020,               2142.252,            70.562
Liberia,                            2018,               4818.976,            50.031
Liberia,                            2019,               4937.374,            51.26
Liberia,                            2020,               5057.677,            52.509
Libya,                              2018,               6678.565,            3.796
Libya,                              2019,               6777.453,            3.852
Libya,                              2020,               6871.287,            3.905
Liechtenstein,                      2018,               37.918,              236.988
Liechtenstein,                      2019,               38.02,               237.625
Liechtenstein,                      2020,               38.137,              238.356
Lithuania,                          2018,               2801.27,             44.696
Lithuania,                          2019,               2759.631,            44.032
